,1,2,Cat ID,,,,,Cat ID,,
118,0.27569755,0.72430245,5/18/2001,,,5,18,1,39.38911,-82.14085
117,0.554691905,0.445308095,27-19-10,,,27,19,10,38.8425,-82.1815
116,0.519682211,0.480317789,64-19-18,,,64,19,18,39.67739,-82.12275
115,0.217707613,0.782292387,82-18-28,,,82,18,28,39.242978,-82.437606
114,0.53084295,0.46915705,79-19-37,,,79,19,37,40.2416,-81.50233
113,0.275200963,0.724799037,61-19-54,,,61,19,54,39.906265,-81.287373
112,0.728314841,0.271685159,61-19-55,,,61,19,55,39.74142,-81.50664
111,0.526903211,0.473096789,7/20/1972,,,7,20,72,40.1429,-81.0337
110,0.309812567,0.690187433,37-20-73,,,37,20,73,39.49463,-82.38338
109,0.370396728,0.629603272,5/18/2002,,,5,18,2,39.30614,-81.957962
108,0.247269744,0.752730256,5/19/1952,,,5,19,52,39.330095,-82.003245
107,0.548411258,0.451588742,5/18/2020,,,5,18,20,39.488333,-82.305278
106,0.424127009,0.575872991,5/19/2029,,,5,19,29,39.230874,-81.790612
105,0.364633333,0.635366667,56-19-38,,,56,19,38,39.7724,-81.2884
104,0.359473707,0.640526293,5/19/1953,,,5,19,53,39.4221,-82.1925
103,0.235080207,0.764919793,64-19-56,,,64,19,56,39.59699,-82.18239
102,0.212402985,0.787597015,40-19-71,,,40,19,71,39.0145,-82.6472
101,0.396863653,0.603136347,84-20-74,,,84,20,74,39.58199,-81.456672
100,0.490925266,0.509074734,58-18-03,,,58,18,3,39.494746,-81.988452
99,0.303905343,0.696094657,58-19-11,,,58,19,11,39.5876,-81.7075
98,0.27436268,0.72563732,58-19-21,,,58,19,21,39.60709,-81.72208
97,0.327466,0.672534,30-19-30,,,30,19,30,40.02806,-81.46415
96,0.449670341,0.550329659,84-19-39,,,84,19,39,39.441529,-81.433019
95,0.384052059,0.615947941,5/19/1957,,,5,19,57,39.5506,-82.0637
94,0.383759364,0.616240636,40-20-70,,,40,20,70,39.105489,-82.673574
93,0.254288245,0.745711755,61-20-75,,,61,20,75,39.74301,-81.49578
92,0.316180907,0.683819093,64-19-04,,,64,19,4,39.822288,-82.286951
91,0.506308783,0.493691217,56-19-12,,,56,19,12,39.7724,-81.2487
90,0.260522814,0.739477186,30-18-22,,,30,18,22,40.16471,-81.51449
89,0.382645215,0.617354785,60-19-40,,,60,19,40,39.96782,-81.86916
88,0.227062598,0.772937402,30-19-31,,,30,19,31,40.10589,-81.56248
87,0.349462714,0.650537286,5/19/1958,,,5,19,58,39.246053,-82.18427
86,0.178298074,0.821701926,61-19-51,,,61,19,51,39.927664,-81.37298
